kof97	拳王97	KOF97	KOF 97
alexkidd	天空魔城 	Alex Kidd	알렉스 키드	
alexkidd1	天空魔城 II	Alex Kidd II	알렉스 키드 II	
aliens	异形	Aliens	에일리언스	
aliencha	星宿会战 	Alien Challenge	에일리언 챌린지	
aliensec	星际争霸 	Alien Sector	에일리언 섹터	
aliensyn	异形入侵	Alien Syndrome 	에일리언 신드롬 	
aliensyn5	异形入侵 5	Alien Syndrome 5	에일리언 신드롬 5	
alphamis	阿尔法任务	Alpha Mission	알파 미션	
alphaxz	阿尔法任务 Z 	The Alphax Z 	알펙스 Z 	
arian	组合战机	Arian Mission	아리언 미션	
amatelas	圣战士阿玛迪斯	Sei Senshi Amatelass	성전사 아마테라스	
amazon	亚马逊女战士	Soldier Girl Amazon	아마존 여전사	
arabian	阿拉丁	Arabian	아라비안	
arabiana	阿拉丁 II	Arabian II	아라비안 II	
area88	战区 88 I	Area 88 I	에어리어 88 I	
area88r	战区 88 II	Area 88 II	에어리어 88 II	
arkarea	宇宙飞艇	Ark Area	아크 에어리어	
armedff	武装编队 2	Armed Formation 2	암드 포메이션 2	
astorm3	异形风暴	Alien Storm 	에일리언 스톰 	
ashnojoe	小拳王	Ashita no Joe	내일의 죠	
ashurau	阿修罗风暴	Ashura Blaster	아수라 블래스터	
asterixaad	美丽新世界	Asterix	아스테릭스	
astyanax	战王之王	The Astyanax	아스티아낙스	
asuka	飞鸟 	Asuka 	아스카 	
asukaj	飞鸟 II 	Asuka II	아스카 II	
asurabld	血剑王朝 - 魔刃降临	Asura Blade - Sword of Dynasty	아수라 블레이드 - 왕조의 검	
asurabus	血剑王朝 2 - 永恒的战士	Asura Buster - Eternal Warriors	아수라 버스터 - 영원한 전사들	
atetris	俄罗斯方块	Tetris	테트리스	
atlantis	亚特兰蒂斯大作战 I	Battle of Atlantis I	아틀란티스 전투 I	
atomicp	俄罗斯方块解谜	Atomic Point	아토믹 포인트	
aurail1	光环 	Aurail  	아우레일  	
aurail	光环 II	Aurail II 	아우레일 II	
avspirit	复仇精灵	Avenging Spirit	어벤징 스피릿
backfirt	烽火佳人	Back Fire	백 파이어	
baddudes	龙行忍者	Bad Dudes vs. Dragonninja	드래곤 닌자 	
drgninja	龙行忍者 2	Dragonninja 2	드래곤 닌자 2	
bakubrkr	爆裂战机	Bakuretsu Breaker	폭열 브레이커 (일본판)	
bakutotu	爆突机铳艇	Bakutotsu Kijuutei	폭돌기총정 바라듀크 Ⅱ 	
balcube	弹跳方块	Bal Cube	밸 큐브	
ballbros	气球兄弟	Balloon Brothers	벌룬 브러더스	
batlbubl	碰碰球 II	Battle Bubble II	배틀 버블 II	
bankp	银行惊魂记	Bank Panic	은행강도	
baraduke	爆突	Baraduke	바라듀크	
battlane	战斗之路 	Battle Lane 	배틀 레인 	
battlane2	战斗之路 II	Battle Lane II	배틀 레인 II	
battlex	战斗飞梭	Battle Cross	배틀 크로스	
battlnts	反战英雄	Battlantis	배틀란티스	
battroad	赛车之路	The Battle-Road	배틀로드	
bayroute	海湾战争 	Bay Route 	베이 루트 	
gulfwar2	海湾战争 II	Gulf War II	걸프 워 II	
bbros	魔鬼气泡	Buster Bros	버스터 형제	
bchopper	希利大冒险	Battle Chopper	배틀 초퍼	
bcstry	原始人梦语	B.C. Story 	B.C. 스토리 	
bcstrya	原始人梦语 II	B.C. Story II	B.C. 스토리 II	
berabohm	超绝伦人	Beraboh Man	초절륜인 베라보맨	
berlwall	柏林墙	The Berlin Wall	베를린 장벽	
bermudat	百慕大魔鬼三角	Bermuda Triangle	버뮤다 삼각지	
bermudata	百慕大魔鬼三角 (世界大战)	Bermuda Triangle (World Wars)	버뮤다 삼각지 - 세계대전	
bestbest	霸中霸	Best Of Best	베스트 오브 베스트	
bestleag	大联盟足球 (意甲 A)	Best League ( Italian Serie A)	베스트 리그 (세리에 A)	
bestleaw	大联盟足球 (世界杯)	Best League (World Cup)	베스트 리그 (월드컵)	
bestri	打星星	Bestri 	베스트라이	
bgaregga	空战之路	Battle Garegga	배틀 가레가	
bigbang	大轰动	Big Bang	빅뱅	
bigkarnk	古埃及卡纳克传说	Big Karnak	빅 카낙	
bigstrik	大联盟足球	Big Striker	빅 스트라이커	
biomtoy	生化玩具兵	Biomechanical Toy	Biomechanical Toy	
bionicc	希特勒复活	Bionic Commando	바이오닉 코만도		
bladestl	金牌冰上曲棍球	Blades of Steel	블레이드 오브 스틸 	
blandia	快打布兰达	Blandia	블랜디아	
blastoff	原爆战机 	Blast Off	블래스트 오프	
blazeon	魂之光辉	Blaze On	블레이즈 온	
blazer	坦克先锋	Blazer	블레이저	
blkhole	黑洞	Black Hole	블랙홀	
blkpnthr	黑豹	Black Panther	블랙 팬더	
blktiger	暗黑之虎	Black Tiger	블랙 타이거	
blmbycar	意大利巡回赛车	Blomby Car	블롬비 카	
blockcar	黑色嘉年华	Block Carnival / Thunder & Lightning 2	썬더 & 라이트닝 2 / 블럭 카니발	
blockhl	俄罗斯方块 - 黑洞	Block Hole	블럭홀	
blockout2	立体空间方块 II	Block Out II	블럭 아웃 II	
bloodbro	勇士们 - 血兄弟 I	Blood Bros. I	블러드 브러더스 I	
bloodbroa	勇士们 - 血兄弟 II	Blood Bros. II	블러드 브러더스 II	
bluehawk	鹰击蓝空	Blue Hawk	블루 호크	
bluehawkn	鹰击蓝空 (NTC)	Blue Hawk (NTC)	블루 호크 (NTC)	
blueprnt	蓝色拼图	Blue Print	블루 프린트		
brubber	金龟车	Burnin' Rubber	버닝 러버	
upndown	超级金龟车	Up'n Down 	업 앤 다운 	
bodyslam	女子摔角	Body Slam	바디 슬램 	
boggy84	弹跳王 '84	Boggy '84	보기 '84	
bombjack	炸弹杰克 	Bomb Jack 	봄 잭 	
bjtwin	炸弹杰克 II	Bombjack Twin 	봄 잭 트윈 II	
bjtwina	炸弹杰克 III	Bombjack Twin III	봄 잭 트윈 III	
bombkick	炸弹脚力	Bomb Kick	봄 킥	
bonzeadv	地狱小和尚	Bonze Adventure 	지옥순례 	
bottom9	世界棒球 (T)	Bottom of the Ninth (T)	9회말 야구 (T)	
bouldash	钻石小子	Boulder Dash 2	보울더 대쉬 2	
bounty	游艇危机	The Bounty	바운티	
brain	太空登陆战	Brain	브레인	
shackled	链狱谜城	Shackled	셔클드	
breywood	链狱谜城 2	Breywood 2	브레이우드  2	
brkthru	强行突破 	Break Thru 	강행돌파 	
forcebrk	强行突破 II	Force Break II	포스 브레이크 II	
bssoccer	街头足球	Back Street Soccer	백 스트리트 축구	
btime	汉堡时代 	Burger Time 	버거 타임 	
btimem	汉堡时代 II	Burger Time II	버거 타임 II	
btlfieldb	时空战士	Battle Field	배틀 필드 	
btlkroad	世界武术格斗比赛	Battle K-Road	배틀 K-로드	
bubl2000	泡泡野人版 2000	Bubble 2000	버블 2000	
bub68705	魔幻气泡	Bubble Bobble	버블보블	
bublbobl	魔幻气泡 IV	Bubble Bobble IV	버블보블 IV	
bublboblr	魔幻气泡 (有选择模式)	Bubble Bobble (with mode select)	버블보블 (슈퍼모드 선택버전)	
bucky	宇宙野兔 	Bucky O'Hare 	버키 오 헤어 	
buccanrs	海盗 	Buccaneers 	버커니어스 	
buccanrsa	海盗 II	Buccaneers II	버커니어스 II	
bullfgt	斗牛 	Bullfight 	불파이트 	
thetogyu	斗牛 II 	The Togyu II 	투우 II	
burglarx	夜盗 X	Burglar X	버글러 X	
burnforc	燃烧之魂	Burning Force 	버닝 포스	
bwings	B-计划	B-Wings	B-윙즈 
cabal	勇士们 	Cabal 	카발	
cachat	能源方块	Cachat 	카찻 	
cactus	仙人掌	Cactus 	선인장 	
