kof97	拳王97	KOF97	KOF 97
hopmappy	跳跳鼠	Hopping Mappy	호핑 매피	
hopprobo	弹簧机器人	Hopper Robo	호퍼 로보	
horizon	飞越地平线	Horizon	호라이즌	
hotbubl	泡泡野人版 	Hot Bubble	핫 버블	
hotdogst	眩之风暴	Hotdog Storm 	핫도그 스톰 	
htchctch	魔法绿兵卫	Hatch Catch	해치 캐치 (한국판)	
hyperpac	疯狂小精灵	Hyper Pacman	하이퍼 팩맨	
hypsptsp	疯狂运动会	Hyper Sports	하이퍼 스포츠 스페셜 	
imgfight	梦幻战机	Image Fight 	이미지 파이트 	
insectx	杀虫战记	Insector X	인섹터 X 	
ironhors	大列车强盗	Iron Horse	대열차 강도	
jackal	赤色要塞	Jackal	특수부대 자칼	
jjack	跳跃杰克	Jumping Jack	점핑 잭	
jjsquawk	鹦鹉历险记	J. J. Squawkers	J. J. 스쿼커즈	
joinem	精灵鬼	Joinem	조인엠	
jumppop	吸尘器小子 II	Jumping Pop II	점핑 팝 II	
tumblep	吸尘器小子 特别版	Tumble Pop 	텀블 팝 	
jrpacman	小精灵 Jr.	Jr. Pac-Man	쥬니어 팩맨	
jumpbug	跳跳车	Jump Bug	점프 버그	
jumpcoas	跳跃游乐园	Jump Coaster	점프 코스터	
jumpkids	跳跃顽童	Jump Kids	점프 키즈	
junofrst	第一战机	Juno First	주노 퍼스트	
kageki	火激 	Kageki 	화격	
kamenrid	假面骑士俱乐部	Masked Riders Club Battle Race	가면라이더 클럽 배틀 레이스	
kangaroo	袋鼠	Kangaroo	캥거루	
karatblzu	斗神光辉 	Karate Blazers 	가라데 블레이저스 	
karianx	卡琳魔宝 	Karian Cross 	카리안 크로스 	
kbash2	猫王 2 	Knuckle Bash 2 	너클 배쉬 2 	
kickboy	踢球少年	Kick Boy	킥 보이	
kickoff	足球开幕赛 	Kick Off 	킥 오프 	
kickridr	暴力机车赛	Kick Rider	킥 라이더	
kidniki	快杰洋枪	Kid Niki - Radical Ninja 	쾌걸 얀차마루	
kikcubic	迷宫岛 	Meikyu Jima 	미궁도	
kikcubicb	迷宫岛 II	Kickle Cubele	킥클 큐벨레	
kingball	国王与气球 	King & Balloon 	킹 & 벌룬 	
kncljoe	惩奸锄恶 	Knuckle Joe 	너클 죠 	
knights	圆桌骑士	Knights of the Round 	원탁의 기사 	
ksayakyu	草野球	Kusayakyuu	동네야구	
ktiger	究极虎	Kyukyoku Tiger 	구극 타이거 	
kuhga	空牙 - 行动代号	Kuhga - Operation Code 'Vapor Trail'	공아(空牙) - 오퍼레이션 코드 '베이퍼 트레일'	
vaportra	空牙 - 行动代号 II	Vapor Trail - Hyper Offence Formation	공아(空牙) - 베이퍼 트레일	
kungfum	成龙踢馆	Kung-Fu Master	쿵후 마스터	
kyros	柯罗斯传说	Kyros	카이로스	
kyrosj	柯罗斯传说 II	Kyros No Yakata II	카이로스의 저택 II	
kyustrkr	最后足球	Last Striker	라스트 스트라이커	
labyrunrk	拉比林特斯森林 	Labyrinth Runner 	라비린스 러너 	
tricktrp	拉比林特斯森林 II	Trick Trap II	트릭 트랩 II	
ladybug	小瓢虫	Lady Bug	무당벌레	
ladymstr	新功夫少女	Lady Master of Kung Fu	레이디 마스터 오브 쿵후	
lastday	末日危机 	The Last Day 	라스트 데이	
lastdaya	末日危机 II	The Last Day II	라스트 데이 II	
lastduel	行星战争 2012 	Last Duel 	라스트 듀얼 	
lastfort	牌砦	Last Fortress - Toride	패채 (牌砦)	
lastmisn	最终任务 	Last Mission 	라스트 미션 	
lastmisnj	最终任务 II	Last Mission II	라스트 미션 II	
ledstorm	道路风暴 	Led Storm 	레드 스톰 	
legend	传奇	Legend	레전드	
legion	超时迷宫 	Legion - Spinner-87 	초시미궁 레지온 	
lifefrce	沙罗曼蛇 	Lifeforce (US)	라이프포스 (미국판)	
salamand	沙罗曼蛇 II	Salamander II	사라만사 II	
liquidk	丑八怪大冒险 	Liquid Kids 	리퀴드 키즈 	
lizwiz	蜥蜴巫师大作战	Lizard Wizard	리자드 위자드	
cottong	轨道拼图 Cotocoto Cottong	Cotocoto Cottong	코토코토 코통	
gutangtn	轨道拼图 II 	Guttang Gottong	구땅 가땅	
locomotn	轨道拼图 III 	Loco-Motion	로코 모션	
lomakai	魔魁传说	Legend of Makai	레전드 오브 마카이	
makaiden	魔魁传说 II	Makai Densetsu	마계전설	
lordofk	战斗之王	The Lord of King 	로드 오브 킹 	
losttomb	盗募者 (容易版)	Lost Tomb (easy)	잃어버린 무덤 (저난이도)	
losttombh	盗募者 (困难版)	Lost Tomb (hard)	잃어버린 무덤 (고난이도)	
lotlot	空间转移	Lot Lot	로트 로트	
lwings	翼人 	Legendary Wings 	레전더리 윙스 	
lwings2	翼人 II	Legendary Wings II	레전더리 윙스 II	
m660	太空任务 660 	Mission 660 	미션 660 	
macross2	超时空要塞 II	Super Spacefortress Macross II 	초시공요새 마크로스 II	
madgear	疯狂机车	Mad Gear 	매드 기어 	
madshark	狂鲨任务	Mad Shark	매드 샤크	
magicbub	魔法泡泡	Magic Bubble	매직 버블	
mahoudai	魔法大作战 	Mahou Daisakusen	마법대작전	
mangchi	曼翅	Mang-Chi	망치 (한국판)	
maniacsq	疯狂方块 	Maniac Square 	매니악 스퀘어 	
manybloc	拉霸拼图	Many Block	매니 블럭	
mappy	猫捉老鼠 	Mappy 	매피 	
markham	飞碟入侵	Markham	마캄	
matchit2	四川省 II	Match It II	사천성 II / 매치 잇 II	
mazinger	铁甲万能侠	Mazinger	마징가 	
mbombrd	摔跤霸王 - 最终之战 	Ultimate Team Battle	머슬봄버 듀오 - 얼티메이트 팀 배틀	
mcatadv	魔猫森林	Magical Cat Adventure	매지컬 캣 어드벤처	
mchampdx	Multi 冠军 豪华版	Multi Champ Deluxe 	멀티 챔프 디럭스	
megablst	空间战机 	Mega Blast 	메가 블라스트 	
meikyuh	迷宫猎人 G 	Meikyuu Hunter G 	미궁 헌터 G 	
meikyuha	迷宫猎人 G II	Meikyuu Hunter G II	미궁 헌터 G II	
mercs	战场之狼 II 	Mercs 	전장의 이리 II	
metafox	沙漠之狐	Meta Fox	메타 폭스	
metalb	黑色合金 	Metal Black 	메탈 블랙 	
metamrph	兽化变形战士	Metamorphic Force	메타몰픽 포스	
metlsavr	合金救助者	Metal Saver	메탈 세이버	
metmqstr	隐忍 	Metamoqester 	은인 - 닌자 마스터	
metrocrs	追赶跑跳碰 I	Metro-Cross I 	메트로 크로스 I 	
metrocrsa	追赶跑跳碰 II	Metro-Cross (set 2)	메트로 크로스 (세트 2)	
mgcrystl	魔法水晶 	Magical Crystals 	매지컬 크리스탈 	
mia	绿色兵团 2 	M.I.A. - Missing in Action 	그린베레 2 / 미싱 인 액션 	
midresu	午夜攻击 	Midnight Resistance 	미드나이트 레지스탕스 	
mirax	鲸鱼星座	Mirax	미락스	
miraxa	鲸鱼星座 II	Mirax (set 2)	미락스 (세트 2)	 	
mmaze	爱丽丝冒险世界 	Marchen Maze 	메르헨 메이즈 	
mofflott	赛车迷宫 	Maze of Flott 	메이즈 오브 플로트 	
momoko	桃子 120%	Momoko 120%	모모코 120% / 시집가는 날	
moonal2	小蜜蜂 2 - 月球异形 2	Moon Alien Part 2	문 에일리언 파트 2	
moonqsr	月球类星体 - 三台合体	Moon Quasar	문 퀘이사	
moremore	益智迷你游戏	More More	퍼즐특급 모아 모아	
moremorp	益智迷你游戏 加强版	More More Plus	퍼즐특급 모아 모아 Plus	
motorace	横越美国 摩托大赛	MotoRace USA	모터레이스 USA	
mouser	老鼠不得了	Mouser	마우저	
mrflea	弗列克惊异大冒险	The Amazing Adventures of Mr. F. Lea	미스터 F. Lea의 어메이징 어드벤쳐	
mrgoemon	五右卫门先生 	Mr. Goemon 	미스터 고에몽 	
kov	三国战记	Knights Of Valour	삼국전기
kovpls	三国战记2007	Kov 2007	삼국전기 2007
kovplus	三国战记加强版	KOV Plus	삼국전기플러스
kovqyz	三国战记群英传	KOV QunYingZhuan	삼국전기히어로
kovsh	三国风云再起	KOV Super Heroes	삼국전기슈퍼히어로
kovshf	三国武将争霸反	KOV Super Heros F	삼국전기슈퍼히어로 F
kovshz	三国武将争霸正	KOV Super Heros Z	삼국전기슈퍼히어로 Z
kovplusf	三国战记集气快	KOV Plus Power Fast	삼국전기플러스파워패스트
kovplusf2	三国战记2007集气快	KOV 2007 Power Fast	삼국전기 2007 파워패스트
kovshp	三国战纪乱世枭雄	KOV Splus	삼국전기 S플러스
kovytzy	三国战纪一统中原	KOV Ytzy2	삼국전기일통중원2
kovshy	三国一统中原	KOV Ytzy1	삼국전기일통중원1
kov2	三国战记2	Knights Of Valour 2	삼국전쟁기 2
kov2p204	三国战记2加强	Knights Of Valour 2+	삼국전쟁기 2 강화하다
kov2p205	三国战记2雄霸三国	KOV 2 Dragons	삼국전기 2 드래곤
orlegend	西游记	Oriental Legend	서유기
olds103t	西游记2	Oriental Legend Super	서유기슈퍼
oldsplus	西游2之群魔乱舞	Oriental Legend SP	서유기스폐셜
killbldp	傲剑狂刀	The Killing Blade +	傲剑마니아칼
martmast	形意拳	Martial Masters	마샬마스터즈
theglad	 神剑伏魔录	theglad	theglad
sfiii3nr1	街霸3最终冲击	Street Fighter III 3Rd S	스트리트파이터 III 3rd 스트라이크
sfiii2n	街霸3第二冲击	Street Fighter III 2ND	스트리트파이터 II 2nd
sfiiij	街霸3新的时代	Street Fighter III	스트리프파이터 III
sfiii3	街霸3最终冲击	Street Fighter III	스트리트파이터 III
jojonr2	奇妙冒险	Jojo's Venture	조조의기묘한모험 V
jojoban	奇妙冒险2	Jojo's Bizarre Adv	조조의기묘한모험 B
s1945	彩京1945	Strikers 1945	스트라이커스 1945
s1945p	彩京1945 Plus	Strikes 1945 Plus	스트라이커즈 1945 플러스
s1945ii	彩京1945II	Strikers 1945 II	스트라이커스 1945 II
s1945iii	彩京1945III	Strikers 1945 III	스트라이커스 1945 III
sf2tlona	街霸2四大天王屠龙	SFII-Tu Long	SF2-Tu Long
wof3js	三剑圣	Warriors Of Fate 3Js	천지를먹다 2 해킹버전
knightsh	铁甲英豪	Knights Of The Round2	원탁의기사해킹버전
shinfz	忍FZ-2006	Shinobi . FZ-2006	시노비 FZ-2006
jojon	奇妙冒险	Jojo's Venture	조조의기묘한모험 V
jojobaner1	奇妙冒险2	Jojo's Bizarre Adv	조조의기묘한모험 B
arcadian	雷暴英雄	Arcadia	아카디아
chinagat	中华门	China Gate	장쑤성
astorm	异形风暴	Alien Storm	에어리언스톰
bonkadv	原始人	Bonk's Adventure	PC 고인돌
desertbr	大漠之王	Desert Breaker	데저트브레이커
redeartn	赤色大地	Red Earth	레드어스
svg	圣魔世纪	SPECTRAL VS GENERATION	SPECTRAL VS GENERATION	
dmnfrnt	魔域战线	Demon Front	Demon Front
baddudes	龙行忍者	Dragonninja	드래곤닌자
eswatbl	霹雳双警	E-Swat Cyber Police	E스왓사이버폴리스
ssriders	西部牛仔	Sunset Riders	선셋라이더스
ctribe	流氓大混战	The Combatribes	컴뱃트라이브스
ddragon3	双截龙III	Double Dragon III	더블드래곤 3
aodk	热血进行曲	Aggressors of Dark Kombat	A.D.K공급사
sdodgeb	超级躲避球	Super Dodge Ball	테크노스 재팬
batsuguna	疯狂枪支	Batsugun	바츠군
batsugunsp	疯狂枪支特别版	Batsugun-Special	바츠군SP
sfa	少年街霸 	Street Fighter Alpha 	스트리트 파이터 알파
sfa2	少年街霸 2 	Street Fighter Alpha 2 	스트리트 파이터 알파 2 	
sfa3	少年街霸 3 	Street Fighter Alpha 3 	스트리트 파이터 알파 3
